A,B,mean(A),mean(B),diff,se,T,df,pval,hedges
australian,british,0.5513558201058201,0.8646329365079365,-0.3132771164021164,0.02700006904711601,-11.602826491126283,2.433381901325234,0.01194263676819829,-7.5789345272818025
australian,indian,0.5513558201058201,0.6134920634920634,-0.06213624338624335,0.02837796323309013,-2.189594893610595,2.8593676965786203,0.3767912856779798,-1.4302373953998868
australian,southern,0.5513558201058201,0.4797949735449736,0.07156084656084649,0.03837102582389373,1.8649708998993033,3.9542329972777717,0.4517795958229397,1.2181938906379888
australian,standard,0.5513558201058201,0.4465443121693122,0.1048115079365079,0.03744342837279029,2.799196347433645,3.9842769136371072,0.19400245102434344,1.8284273976199605
british,indian,0.8646329365079365,0.6134920634920634,0.25114087301587307,0.01484505701580671,16.91747446631316,3.57178259757565,0.0006884626109749936,11.050448047741437
british,southern,0.8646329365079365,0.4797949735449736,0.3848379629629629,0.029789302498075647,12.918663100212667,2.35065146907712,0.010489517452932251,8.43843540118466
british,standard,0.8646329365079365,0.4465443121693122,0.4180886243386243,0.02858456312159089,14.62637797052171,2.383163180053196,0.007454065610593363,9.553910083430072
indian,southern,0.6134920634920634,0.4797949735449736,0.13369708994708984,0.031043640444242994,4.306746503755613,2.7044080488689706,0.09968320144927889,2.8131550361911177
indian,standard,0.6134920634920634,0.4465443121693122,0.16694775132275125,0.029889501795142007,5.585497960688175,2.7660459454750264,0.051222184245776625,3.6484319901445463
southern,standard,0.4797949735449736,0.4465443121693122,0.033250661375661406,0.03950201441801546,0.8417459682890746,3.991891791530178,0.9044476294564028,0.5498261640941822
